# Schedule reconstruction backtest -- SIRMOUR -- 2026-07-29
# Matched blocks: 45
# MAE (MW): 0.3241
# RMSE (MW): 0.437
# MAPE (%): 42.5
# Bias (MW): +0.0721 (over-forecast)
Time,Generated At Interval,Predicted (MW),Predicted (kW),Actual (MW),Actual (kW),Error/Loss (MW),Variation (%),Abs Error (MW)
2026-07-29 07:00,06:45,0.833,833,0.437,437,0.396,90.6,0.396
2026-07-29 07:15,06:45,0.96,960,0.62,620,0.34,54.9,0.34
2026-07-29 07:30,06:45,1.083,1083,0.689,689,0.394,57.1,0.394
2026-07-29 07:45,06:45,1.204,1204,0.861,861,0.343,39.8,0.343
2026-07-29 08:00,06:45,1.32,1320,1.025,1025,0.295,28.8,0.295
2026-07-29 08:15,06:45,1.432,1432,1.081,1081,0.351,32.5,0.351
2026-07-29 08:30,08:15,1.306,1306,1.087,1087,0.219,20.1,0.219
2026-07-29 08:45,08:15,1.392,1392,1.182,1182,0.21,17.8,0.21
2026-07-29 09:00,08:15,1.474,1474,1.363,1363,0.111,8.1,0.111
2026-07-29 09:15,08:15,1.55,1550,1.605,1605,-0.055,-3.4,0.055
2026-07-29 09:30,08:15,1.621,1621,1.703,1703,-0.082,-4.8,0.082
2026-07-29 09:45,08:15,1.687,1687,1.87,1870,-0.183,-9.8,0.183
2026-07-29 10:00,09:45,2.056,2056,2.046,2046,0.01,0.5,0.01
2026-07-29 10:15,09:45,2.118,2118,1.239,1239,0.879,70.9,0.879
2026-07-29 10:30,09:45,2.173,2173,1.003,1003,1.17,116.7,1.17
2026-07-29 10:45,09:45,2.219,2219,2.008,2008,0.211,10.5,0.211
2026-07-29 11:00,09:45,2.257,2257,1.803,1803,0.454,25.2,0.454
2026-07-29 11:15,09:45,2.287,2287,1.387,1387,0.9,64.9,0.9
2026-07-29 11:30,11:15,1.48,1480,1.806,1806,-0.326,-18.0,0.326
2026-07-29 11:45,11:15,1.58,1580,1.854,1854,-0.274,-14.8,0.274
2026-07-29 12:00,11:15,1.68,1680,1.935,1935,-0.255,-13.2,0.255
2026-07-29 12:15,11:15,1.68,1680,1.464,1464,0.216,14.8,0.216
2026-07-29 12:30,11:15,1.67,1670,1.527,1527,0.143,9.3,0.143
2026-07-29 12:45,11:15,1.65,1650,3.107,3107,-1.457,-46.9,1.457
2026-07-29 13:00,12:45,2.415,2415,2.549,2549,-0.134,-5.2,0.134
2026-07-29 13:15,12:45,2.374,2374,1.756,1756,0.618,35.2,0.618
2026-07-29 13:30,12:45,2.325,2325,2.733,2733,-0.408,-14.9,0.408
2026-07-29 13:45,12:45,2.267,2267,3.0,3000,-0.733,-24.4,0.733
2026-07-29 14:00,12:45,2.201,2201,2.341,2341,-0.14,-6.0,0.14
2026-07-29 14:15,12:45,2.125,2125,1.846,1846,0.279,15.1,0.279
2026-07-29 14:30,14:15,1.727,1727,2.23,2230,-0.503,-22.5,0.503
2026-07-29 14:45,14:15,1.651,1651,1.985,1985,-0.334,-16.8,0.334
2026-07-29 15:00,14:15,1.57,1570,1.924,1924,-0.354,-18.4,0.354
2026-07-29 15:15,14:15,1.483,1483,1.665,1665,-0.182,-10.9,0.182
2026-07-29 15:30,14:15,1.391,1391,1.427,1427,-0.036,-2.5,0.036
2026-07-29 15:45,14:15,1.294,1294,1.34,1340,-0.046,-3.4,0.046
2026-07-29 16:00,15:45,1.193,1193,1.363,1363,-0.17,-12.5,0.17
2026-07-29 16:15,15:45,1.088,1088,1.089,1089,-0.001,-0.1,0.001
2026-07-29 16:30,15:45,0.979,979,0.866,866,0.113,13.1,0.113
2026-07-29 16:45,15:45,0.868,868,0.697,697,0.171,24.4,0.171
2026-07-29 17:00,15:45,0.753,753,0.597,597,0.156,26.1,0.156
2026-07-29 17:15,15:45,0.637,637,0.484,484,0.153,31.6,0.153
2026-07-29 17:30,15:45,0.519,519,0.265,265,0.254,95.9,0.254
2026-07-29 17:45,15:45,0.401,401,0.105,105,0.296,280.5,0.296
2026-07-29 18:00,15:45,0.282,282,0.049,49,0.233,,0.233

# ==================== ANALYSIS (added) ====================
# Note: Predicted (kW) = Predicted (MW) x 1000. Original MW values unchanged.
# Plant capacity: 5.1 MW (5100 kW)
#
# --- Accuracy metrics (recomputed from the 45 matched blocks) ---
# Matched blocks,45
# MAE (MW),0.3242
# RMSE (MW),0.4370
# Bias (MW),+0.0720,over-forecast
#
# --- Forecast direction split ---
# Over-forecast blocks (predicted > actual),26
# Under-forecast blocks (predicted < actual),19
# Exact matches,0
#
# --- Daily energy totals (each block = 15 min = 0.25 h) ---
# Total predicted energy (MWh),17.064
# Total actual energy (MWh),16.253
# Energy error (%),+4.99
#
# --- Peaks ---
# Peak predicted (MW),2.415
# Peak actual (MW),3.107
#
# --- Best / worst blocks (by absolute error) ---
# Most accurate block,2026-07-29 16:15,abs error (MW),0.001
# Least accurate block,2026-07-29 12:45,abs error (MW),1.457
